,name,address,EVC_rapid,EVC_regular,category,lonlat
4132,日産東京販売千住店,東京都足立区中央本町１丁目１－３,1,0,自動車ディーラー,"[139.803635, 35.769695]"
4133,日産東京販売足立加平店,東京都足立区加平３－１－２０,1,0,自動車ディーラー,"[139.8284, 35.777748]"
4134,日産東京販売足立店,東京都足立区平野２－１０－１,1,0,自動車ディーラー,"[139.803101, 35.784847]"
4135,日産東京販売株式会社　竹ノ塚店,東京都足立区保木間２－１－５,1,0,自動車ディーラー,"[139.802536, 35.793503]"
4136,マルエツ東和店,東京都足立区東和１－２９－８,1,0,小売店舗,"[139.837738, 35.768906]"
4137,マルエツ伊興店,東京都足立区伊興２－２１－２０,1,0,小売店舗,"[139.780197, 35.795345]"
4138,Ａｕｄｉ足立,東京都足立区平野１丁目１－４,1,0,自動車ディーラー,"[139.803238, 35.779415]"
4139,ホンダカーズ東京中央　足立小台店,東京都足立区小台１－１６－１,1,0,自動車ディーラー,"[139.766891, 35.756153]"
4140,メルセデス・ベンツ足立,東京都足立区中川４－１３－１２,1,0,自動車ディーラー,"[139.845154, 35.774174]"
4141,ポンテポルタ千住,東京都足立区千住橋戸町１－１３,0,26,大規模小売店舗,"[139.795258, 35.742153]"
4142,アリオ西新井,東京都足立区西新井栄町１－２０－１,0,54,大規模小売店舗,"[139.785782, 35.774689]"
4143,北千住駅前駐車場,東京都足立区千住３丁目９２番,0,2,その他,"[139.804565, 35.751083]"
4144,ヨークプライス西新井店,東京都足立区興野１－１２－７,0,8,小売店舗,"[139.781723, 35.77002]"
4145,モビリティ東京　扇大橋店,東京都足立区扇２丁目２７番３３号,0,1,自動車ディーラー,"[139.770599, 35.766533]"
4146,モビリティ東京　足立保木間店,東京都足立区保木間　３－１－４,0,1,自動車ディーラー,"[139.802399, 35.795338]"
4147,ネッツトヨタ東都　ネッツタワー足立,東京都足立区東六月町５番１０号,0,1,自動車ディーラー,"[139.802994, 35.788696]"
4148,ネッツトヨタ東都　西新井店,東京都足立区谷在家１－２３－７,0,1,自動車ディーラー,"[139.770264, 35.78912]"
4149,モビリティ東京　竹の塚店,東京都足立区保木間２－１－３,0,1,自動車ディーラー,"[139.802567, 35.793236]"
4150,モビリティ東京　足立北綾瀬店,東京都足立区谷中２－８－６,1,1,自動車ディーラー,"[139.833237, 35.777248]"
4151,モビリティ東京　西新井店,東京都足立区西新井６－４－８,0,1,自動車ディーラー,"[139.775879, 35.778248]"
4152,モビリティ東京　足立竹の塚店,東京都足立区六月１－２２－１９,0,1,自動車ディーラー,"[139.802734, 35.786945]"
4153,モビリティ東京　足立入谷店,東京都足立区入谷７－９－１４,0,1,自動車ディーラー,"[139.759766, 35.803276]"
4154,ライフ　水元店,東京都葛飾区水元２－１１－５,1,0,大規模小売店舗,"[139.856491, 35.787231]"
4155,ライフ　葛飾奥戸店,東京都葛飾区奥戸３－２３－１９,1,0,大規模小売店舗,"[139.863068, 35.730442]"
4156,東日本三菱自動車販売（株）葛飾店,東京都葛飾区金町１－７－５,1,0,自動車ディーラー,"[139.864136, 35.762779]"
4157,メルセデス・ベンツ足立ＣＣセンター,東京都葛飾区奥戸７－１５－１５,1,0,自動車ディーラー,"[139.864014, 35.737961]"
4158,都営南水元一丁目第２アパート,東京都葛飾区南水元１－１６,1,0,自治体施設,"[139.858459, 35.774914]"
4159,日産東京販売環七小岩店,東京都葛飾区奥戸６丁目１－４,1,0,自動車ディーラー,"[139.869385, 35.729858]"
4160,日産東京販売葛飾金町店,東京都葛飾区新宿３丁目２１－１８,1,0,自動車ディーラー,"[139.863464, 35.762413]"
4161,日産東京販売葛飾立石店,東京都葛飾区立石５－３－１,1,0,自動車ディーラー,"[139.842987, 35.743393]"
4162,アリオ亀有,東京都葛飾区亀有３－４９－３,1,59,大規模小売店舗,"[139.852539, 35.764343]"
4163,日産東京販売株式会社　葛飾店,東京都葛飾区白鳥４－５－１５,1,0,自動車ディーラー,"[139.849564, 35.751965]"
4164,高木屋老舗,東京都葛飾区柴又７－６－２１,0,1,小売店舗,"[139.876572, 35.757744]"
4165,イトーヨーカドー高砂店,東京都葛飾区高砂３－１２－５,0,12,大規模小売店舗,"[139.867966, 35.750767]"
4166,アリオ亀有,東京都葛飾区亀有３－４９－３,0,76,大規模小売店舗,"[139.852539, 35.764343]"
4167,ネッツトヨタ東都　水元店,東京都葛飾区南水元３丁目１１番２３号,0,1,自動車ディーラー,"[139.864151, 35.775005]"
4168,ネッツトヨタ東都　葛飾店,東京都葛飾区東立石１－４－４,1,2,自動車ディーラー,"[139.846893, 35.72963]"
4169,モビリティ東京　葛飾四ツ木店,東京都葛飾区四つ木５－８－１４,0,1,自動車ディーラー,"[139.840576, 35.741352]"
4170,モビリティ東京　小岩店,東京都葛飾区奥戸６－２９－１２,0,1,自動車ディーラー,"[139.871201, 35.729286]"
4171,モビリティ東京　Ｕ－Ｃａｒ新小岩店,東京都葛飾区東新小岩２－１９－１３,0,1,自動車ディーラー,"[139.868088, 35.726578]"
4172,モビリティ東京　Ｔ－プラザ　金町,東京都葛飾区金町１－７－１０,1,1,自動車ディーラー,"[139.864807, 35.763165]"
4173,モビリティ東京　葛飾白鳥店,東京都葛飾区白鳥１－１０－２０,0,1,自動車ディーラー,"[139.844604, 35.745541]"
4174,モビリティ東京　Ｕ－Ｃａｒ金町店,東京都葛飾区新宿３－６－１１,0,1,自動車ディーラー,"[139.861786, 35.761318]"
4175,東日本三菱自動車販売（株）葛西店,東京都江戸川区東葛西２－１４－１１,2,0,自動車ディーラー,"[139.876862, 35.667313]"
4176,東日本三菱自動車販売（株）江戸川店,東京都江戸川区中央２－２１－６,1,0,自動車ディーラー,"[139.873962, 35.708416]"
4177,モビリティ東京　レクサス江戸川,東京都江戸川区北葛西４丁目２５－２２,1,0,自動車ディーラー,"[139.865692, 35.669018]"
4178,日産東京販売江戸川店,東京都江戸川区西瑞江５丁目５－１１,1,0,自動車ディーラー,"[139.880295, 35.681507]"
4179,日産東京販売葛西店,東京都江戸川区西葛西４－２－４３,1,0,自動車ディーラー,"[139.861343, 35.669434]"
4180,日産東京販売江戸川中央店,東京都江戸川区中央３－１９－７,1,0,自動車ディーラー,"[139.874252, 35.71423]"
4181,日産東京販売小岩店,東京都江戸川区北小岩１－１６－８,1,0,自動車ディーラー,"[139.892776, 35.736225]"
4182,日産東京販売株式会社　江戸川小松川店,東京都江戸川区中央１－１７－８,1,0,自動車ディーラー,"[139.869904, 35.706387]"
4183,コーナン江戸川中央店,東京都江戸川区中央３丁目３番５号,2,0,大規模小売店舗,"[139.870132, 35.710556]"
4184,ホンダカーズ東京　一之江店,東京都江戸川区西一之江２－３１－１０,1,0,自動車ディーラー,"[139.8815, 35.700768]"
4185,ホンダカーズ東京　江戸川店,東京都江戸川区中央２－２１－５,1,0,自動車ディーラー,"[139.873947, 35.708279]"
4186,メルセデス・ベンツ江戸川,東京都江戸川区西葛西４－６－２２,1,0,自動車ディーラー,"[139.86554, 35.668793]"
4187,イトーヨーカドー葛西店,東京都江戸川区東葛西９－３－３,0,33,大規模小売店舗,"[139.880692, 35.653355]"
4188,モビリティ東京　江戸川中央店,東京都江戸川区中央２―１１―２２,0,1,自動車ディーラー,"[139.873276, 35.706383]"
4189,ネッツトヨタ東都　船堀店,東京都江戸川区船堀３丁目３番１６号,0,1,自動車ディーラー,"[139.863617, 35.681175]"
4190,ネッツトヨタ東都　小岩店,東京都江戸川区東小岩１－３－２,0,1,自動車ディーラー,"[139.891418, 35.718475]"
4191,モビリティ東京　北小岩店,東京都江戸川区北小岩３－１４－１２,0,1,自動車ディーラー,"[139.892471, 35.736629]"
4192,モビリティ東京　葛西店,東京都江戸川区中葛西５－７－１３,0,1,自動車ディーラー,"[139.865585, 35.661617]"
4193,モビリティ東京　江戸川西一之江店,東京都江戸川区西一之江１－８－９,0,1,自動車ディーラー,"[139.87738, 35.702717]"
4194,モビリティ東京　一之江店,東京都江戸川区一之江７－６６－２５,1,1,自動車ディーラー,"[139.877563, 35.683121]"
4195,モビリティ東京　江戸川店瑞江店,東京都江戸川区春江町１－１－１６,0,1,自動車ディーラー,"[139.892532, 35.701996]"
4196,東日本三菱自動車販売（株）八王子北野店,東京都八王子市北野町５９３－７,1,0,自動車ディーラー,"[139.352631, 35.653065]"
4197,東日本三菱自動車販売（株）八王子楢原店,東京都八王子市楢原町５８１－１,1,0,自動車ディーラー,"[139.304947, 35.684006]"
4198,八王子戸吹ＳＳ,東京都八王子市戸吹町１４６９－１,1,0,ガソリンスタンド,"[139.2892, 35.707138]"
4199,Ｄｒ．Ｄｒｉｖｅセルフ八王子みなみ野店,東京都八王子市小比企町３５００－２,2,0,ガソリンスタンド,"[139.323425, 35.639656]"
4200,モビリティ東京　レクサス八王子,東京都八王子市八木町２－１６,1,0,自動車ディーラー,"[139.32193, 35.660721]"
4201,ファミリーマート八王子西インター店,東京都八王子市下恩方町１７５８,1,0,コンビニエンスストア,"[139.260147, 35.672424]"
4202,コーナンぐりーんうぉーく多摩店,東京都八王子市別所２－５６,1,0,大規模小売店舗,"[139.395996, 35.6119]"
4203,セブンイレブン八王子由木中央店,東京都八王子市越野３－１２,1,0,コンビニエンスストア,"[139.386292, 35.628826]"
4204,セブンイレブン八王子石川中入口店,東京都八王子市石川町１２３－１,1,0,コンビニエンスストア,"[139.365692, 35.675449]"
4205,セブンイレブン八王子小宮店,東京都八王子市小宮町８５１－４,1,0,コンビニエンスストア,"[139.370346, 35.686333]"
4206,中央自動車道　石川ＰＡ上り,東京都八王子市石川町９４４－４,1,0,ＳＡ/ＰＡ,"[139.365692, 35.675449]"
4207,中央自動車道　石川ＰＡ下り,東京都八王子市石川町３０２８,1,0,ＳＡ/ＰＡ,"[139.365692, 35.675449]"
4208,日産東京販売八王子みなみ野店,東京都八王子市西片倉３丁目２０－４,2,0,自動車ディーラー,"[139.326187, 35.635021]"
4209,日産東京販売八王子店,東京都八王子市大和田町５丁目５－１０,1,0,自動車ディーラー,"[139.348312, 35.662086]"
4210,日産東京販売堀之内駅前店,東京都八王子市堀之内３丁目２８,1,0,自動車ディーラー,"[139.399429, 35.624393]"
4211,日産東京販売ニュータウン堀之内店,東京都八王子市堀之内２－１－８,1,0,自動車ディーラー,"[139.396637, 35.627522]"
4212,日産東京販売大和田店,東京都八王子市大和田町３丁目９－１６,1,0,自動車ディーラー,"[139.352921, 35.66235]"
4213,日産東京販売八王子高倉店,東京都八王子市高倉町４１－７,1,0,自動車ディーラー,"[139.36795, 35.66732]"
4214,日産東京販売八王子松枝橋店,東京都八王子市泉町１９１０－４８,1,0,自動車ディーラー,"[139.299561, 35.679459]"
4215,日産東京販売八王子東浅川店,東京都八王子市東浅川町５５６－１０,1,0,自動車ディーラー,"[139.295074, 35.645592]"
4216,ホンダカーズ東京中央　南大沢店,東京都八王子市南大沢１－８－４,1,1,自動車ディーラー,"[139.381363, 35.616241]"
4217,ホンダカーズ東京中央　めじろ台店,東京都八王子市椚田町１２１６,1,0,自動車ディーラー,"[139.295334, 35.637554]"
4218,メルセデス・ベンツ八王子,東京都八王子市左入町７００番１,1,0,自動車ディーラー,"[139.333633, 35.677349]"
4219,第２駐車場ガレリア・ユギ併設,東京都八王子市南大沢２－２８－３,2,0,大規模小売店舗,"[139.379227, 35.612988]"
4220,ＧＭＧ八王子ゴルフ場,東京都八王子市川口町３５１５,0,2,ゴルフ場,"[139.271317, 35.707493]"
4221,ｆａｂ南大沢,東京都八王子市南大沢２－３,0,1,その他,"[139.380264, 35.614712]"
4222,イトーヨーカドー八王子店,東京都八王子市狭間町１４６２－１,0,58,大規模小売店舗,"[139.292969, 35.637585]"
4223,トヨタＳ＆Ｄ西東京　めじろ台店,東京都八王子市椚田町５７９－２,0,1,自動車ディーラー,"[139.302612, 35.638359]"
4224,トヨタＳ＆Ｄ西東京　大和田店,東京都八王子市大和田町４－２０－６,0,1,自動車ディーラー,"[139.354065, 35.666332]"
4225,トヨタＳ＆Ｄ西東京　堀之内店,東京都八王子市堀之内３ー１－４５,0,1,自動車ディーラー,"[139.396896, 35.626343]"
4226,トヨタＳ＆Ｄ西東京　八王子店,東京都八王子市並木町２３－６,0,1,自動車ディーラー,"[139.300507, 35.651775]"
4227,トヨタＳ＆Ｄ西東京　松枝橋店,東京都八王子市四谷町６６８－１,0,1,自動車ディーラー,"[139.298615, 35.678131]"
4228,トヨタＳ＆Ｄ西東京　八王子みなみ野店,東京都八王子市みなみ野１－７－６,0,1,自動車ディーラー,"[139.327728, 35.632]"
4229,トヨタＳ＆Ｄ西東京　八王子西店,東京都八王子市小比企町５３９－１,0,1,自動車ディーラー,"[139.316681, 35.640335]"
4230,トヨタＳ＆Ｄ西東京　八王子堀之内店,東京都八王子市堀之内３－２５,0,1,自動車ディーラー,"[139.401413, 35.625267]"
4231,トヨタＳ＆Ｄ西東京　元八王子店,東京都八王子市元八王子町１－４２５－１,0,1,自動車ディーラー,"[139.287857, 35.665794]"
4232,トヨタＳ＆Ｄ西東京　高尾店,東京都八王子市東浅川町５５２－１８,0,1,自動車ディーラー,"[139.293137, 35.645088]"
4233,トヨタＳ＆Ｄ西東京　八王子北野店,東京都八王子市北野町５８３－７,0,1,自動車ディーラー,"[139.35788, 35.649368]"
4234,トヨタＳ＆Ｄ西東京　八王子由木店,東京都八王子市越野２２－１４,0,1,自動車ディーラー,"[139.387512, 35.628365]"
4235,モビリティ東京　めじろ台店,東京都八王子市椚田町５８５－４,0,1,自動車ディーラー,"[139.30481, 35.638237]"
4236,モビリティ東京　八王子明神町店,東京都八王子市明神町２－１７－１５,1,1,自動車ディーラー,"[139.346893, 35.658482]"
4237,モビリティ東京　堀之内店,東京都八王子市堀之内３－４－１６,0,1,自動車ディーラー,"[139.402542, 35.627857]"
4238,モビリティ東京　南大沢店,東京都八王子市南大沢２－４,0,1,自動車ディーラー,"[139.38179, 35.615479]"
4239,モビリティ東京　八王子いちょう通り店,東京都八王子市千人町１－６－４,0,1,自動車ディーラー,"[139.315353, 35.659504]"
4240,トヨタＳ＆Ｄ西東京　日野バイパス店,東京都八王子市高倉町４６－７,0,1,自動車ディーラー,"[139.368301, 35.665539]"
4241,とんでん　八王子散田店,東京都八王子市散田町５－１５－５,0,2,飲食店,"[139.304184, 35.650211]"
4242,東日本三菱自動車販売（株）立川店,東京都立川市富士見町６－４９－２２,2,0,自動車ディーラー,"[139.393158, 35.692116]"
4243,ミニストップ　立川砂川町店,東京都立川市砂川町５－５４－１,1,0,コンビニエンスストア,"[139.40976, 35.726643]"
4244,セブンイレブン立川柴崎町１丁目店,東京都立川市柴崎町１－１０－６,1,0,コンビニエンスストア,"[139.402466, 35.692898]"
4245,セブンイレブン立川砂川三番店,東京都立川市砂川町３－２５－２,1,0,コンビニエンスストア,"[139.399689, 35.72702]"
4246,日産東京販売立川サンシャインパーク店,東京都立川市泉町９３５－１－１０７号棟,1,0,自動車ディーラー,"[139.411499, 35.714058]"
4247,日産東京販売立川店,東京都立川市錦町５－１７－１１,1,0,自動車ディーラー,"[139.415726, 35.688484]"
4248,Ａｕｄｉ立川,東京都立川市高松町２－３９－２０,1,0,自動車ディーラー,"[139.421768, 35.707325]"
4249,トヨタドライビングスクール東京,東京都立川市羽衣町１－３－４,0,2,その他,"[139.423157, 35.697887]"
4250,トヨタＳ＆Ｄ西東京　天王橋店,東京都立川市一番町４－４４－５,0,1,自動車ディーラー,"[139.38208, 35.729233]"
4251,トヨタＳ＆Ｄ西東京　立川店,東京都立川市栄町２－６７－１,0,1,自動車ディーラー,"[139.429489, 35.714306]"
4252,トヨタＳ＆Ｄ西東京　立川富士見町店,東京都立川市富士見町７－３０－２３,0,1,自動車ディーラー,"[139.398392, 35.690517]"
4253,トヨタＳ＆Ｄ西東京　立川北店,東京都立川市若葉町４－１－３,0,1,自動車ディーラー,"[139.432861, 35.723297]"
4254,トヨタＳ＆Ｄ西東京　立川南店,東京都立川市柴崎町６－９－２,0,1,自動車ディーラー,"[139.408493, 35.688084]"
4255,モビリティ東京　立川店,東京都立川市錦町３－８－２６,0,1,自動車ディーラー,"[139.417816, 35.692116]"
4256,ヨドバシカメラマルチメディア吉祥寺,東京都武蔵野市吉祥寺本町１－１９－１,1,0,大規模小売店舗,"[139.581177, 35.704605]"
4257,メルセデス・ベンツ武蔵野,東京都武蔵野市関前５丁目２１番３２号,1,0,自動車ディーラー,"[139.539658, 35.711811]"
4258,モビリティ東京　吉祥寺店,東京都武蔵野市吉祥寺本町１－３３－１１,1,1,自動車ディーラー,"[139.584076, 35.705029]"
4259,アットパーク吉祥寺（東急百貨店吉祥寺店）,東京都武蔵野市吉祥寺本町２－１１－２,0,5,大規模小売店舗,"[139.57634, 35.703274]"
4260,モビリティ東京　レクサス三鷹,東京都三鷹市野崎４－３－５３,1,0,自動車ディーラー,"[139.542633, 35.681335]"
4261,ジャガー・ランドローバー三鷹,東京都三鷹市野崎３－２５－１２,1,0,自動車ディーラー,"[139.538864, 35.681389]"
4262,日産東京販売三鷹店,東京都三鷹市下連雀５丁目９－１３,1,0,自動車ディーラー,"[139.570389, 35.691048]"
4263,ホンダカーズ東京中央　三鷹店,東京都三鷹市下連雀６－３－５,1,0,自動車ディーラー,"[139.568756, 35.687092]"
4264,モビリティ東京　武蔵野東八店,東京都三鷹市野崎４丁目３番４７号,0,1,自動車ディーラー,"[139.541656, 35.681271]"
4265,モビリティ東京　三鷹野崎南店,東京都三鷹市野崎４ー３ー５０,0,1,自動車ディーラー,"[139.542145, 35.681305]"
4266,モビリティ東京　三鷹通り店,東京都三鷹市上連雀６－６－１,0,1,自動車ディーラー,"[139.559616, 35.69054]"
4267,モビリティ東京　三鷹野崎北店,東京都三鷹市野崎３－８－１０,0,1,自動車ディーラー,"[139.542694, 35.681629]"
4268,東日本三菱自動車販売（株）青梅店,東京都青梅市河辺町４－１３－７,1,0,自動車ディーラー,"[139.284729, 35.782143]"
4269,ファミリーマート青梅今井店,東京都青梅市今井３－１８－２,1,0,コンビニエンスストア,"[139.308838, 35.800877]"
