,address,pop,hh,lon,lat
750,東京都練馬区北町,27317.0,14575.0,139.7351047,35.6998889
751,東京都練馬区田柄,29720.0,13544.0,139.71965369684952,35.697164099999995
752,東京都練馬区光が丘,26561.0,11933.0,139.6293801,35.7585523
753,東京都練馬区旭町,13149.0,6712.0,139.6250974,35.7698455
754,東京都練馬区土支田,13869.0,5646.0,139.6197804,35.7666891
755,東京都練馬区富士見台,15746.0,7717.0,139.6300042,35.7359523
756,東京都練馬区南田中,12462.0,6254.0,139.6218331,35.7318851
757,東京都練馬区高野台,15700.0,7381.0,139.6163048,35.7409213
758,東京都練馬区谷原,13193.0,5499.0,139.6184703,35.7491486
759,東京都練馬区三原台,9332.0,4082.0,139.6541369,35.7576885
760,東京都練馬区石神井町,28284.0,14897.0,,
761,東京都練馬区石神井台,31187.0,14183.0,,
762,東京都練馬区上石神井,18871.0,10539.0,139.5925257,35.7261749
763,東京都練馬区上石神井南町,2166.0,1061.0,139.5949643,35.7233304
764,東京都練馬区下石神井,18425.0,8649.0,139.7416507,35.7000213
765,東京都練馬区立野町,5341.0,2429.0,139.5809489,35.7161614
766,東京都練馬区関町東,5589.0,3068.0,139.6978090272034,35.654976149999996
767,東京都練馬区関町北,22743.0,11923.0,139.57283241660096,35.732474100000005
768,東京都練馬区関町南,19127.0,9294.0,,
769,東京都練馬区東大泉,35704.0,17840.0,139.6802877,35.6679617
770,東京都練馬区西大泉町,32.0,12.0,139.56699,35.763411
771,東京都練馬区西大泉,21950.0,9243.0,,
772,東京都練馬区南大泉,26805.0,11971.0,139.5740124,35.7463719
773,東京都練馬区大泉町,21920.0,9196.0,139.7055511,35.761435
774,東京都練馬区大泉学園町,34158.0,14342.0,,
775,東京都足立区青井,17629.0,8788.0,139.8203104,35.7717439
776,東京都足立区足立,13377.0,7432.0,139.8085589077795,35.76111095
777,東京都足立区綾瀬,26463.0,15185.0,139.8248669,35.7621283
778,東京都足立区伊興,12543.0,5999.0,139.8031853,35.7503676
779,東京都足立区入谷町，舎人町,,,139.7705448,35.8090563
780,東京都足立区入谷,8933.0,3853.0,,
781,東京都足立区梅田,25288.0,12540.0,139.79779343366238,35.76700195
782,東京都足立区梅島,12474.0,6894.0,139.79984275871857,35.773442
783,東京都足立区扇,15842.0,7612.0,139.77260285663698,35.76629135
784,東京都足立区大谷田,16667.0,8409.0,139.8467115,35.7767677
785,東京都足立区興野,6147.0,2754.0,139.77900708022042,35.76879435
786,東京都足立区小台,6896.0,3126.0,139.7703819,35.7546937
787,東京都足立区加賀,4081.0,1781.0,139.758674,35.7908673
788,東京都足立区加平,6837.0,3689.0,139.8227119,35.7710226
789,東京都足立区北加平町,2317.0,1183.0,139.8284697,35.784364
790,東京都足立区栗原,12656.0,6472.0,139.78764817005595,35.7829833
791,東京都足立区江北,19276.0,9927.0,139.7648511834314,35.773411
792,東京都足立区古千谷,,,139.7766173,35.8066831
793,東京都足立区弘道,7168.0,4041.0,139.81577442754127,35.7685458
794,東京都足立区佐野,5831.0,2600.0,,
795,東京都足立区皿沼,3908.0,1825.0,139.762847,35.793395
796,東京都足立区鹿浜,17750.0,8040.0,139.7509392,35.7785872
797,東京都足立区島根,12589.0,6260.0,139.79728592061247,35.7819102
798,東京都足立区神明南,3500.0,1523.0,139.8292208,35.7882805
799,東京都足立区神明,4931.0,2120.0,139.8365807,35.7984624
800,東京都足立区新田,16548.0,7111.0,139.7413115859291,35.77041305
801,東京都足立区千住曙町,4386.0,1986.0,139.8142004,35.7428376
802,東京都足立区千住旭町,3505.0,2106.0,139.8083424,35.7495251
803,東京都足立区千住東,5941.0,3005.0,139.80215698929388,35.74722905
804,東京都足立区千住大川町,3565.0,1877.0,139.7971737,35.7566038
805,東京都足立区千住河原町,3990.0,2360.0,139.7993946,35.7429334
806,東京都足立区関原,11208.0,5616.0,139.78897349365602,35.76635055
807,東京都足立区千住寿町,3249.0,1890.0,139.798826,35.7521633
808,東京都足立区千住桜木,4756.0,2216.0,139.7896671,35.7555489
809,東京都足立区千住関屋町,3905.0,1679.0,139.8072481,35.7420713
810,東京都足立区千住龍田町,1934.0,1097.0,139.7952747,35.7514319
811,東京都足立区千住橋戸町,3877.0,1738.0,139.7970772,35.7410437
812,東京都足立区千住宮元町,2178.0,1348.0,139.7955537,35.7468083
813,東京都足立区千住緑町,5682.0,2814.0,,
